movieId	title	genres	item_id	i_genre_c	i_title_c
54	Big Green, The (1995)	Children's|Comedy	52	160	329
55	Georgia (1995)	Drama	53	238	1107
57	Home for the Holidays (1995)	Drama	54	238	1333
58	Postino, Il (The Postman) (1994)	Drama|Romance	55	251	2238
60	Indian in the Cupboard, The (1995)	Adventure|Children's|Fantasy	56	115	1427
61	Eye for an Eye (1996)	Drama|Thriller	57	259	918
62	Mr. Holland's Opus (1995)	Drama	58	238	1883
63	Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	Comedy	59	176	802
64	Two if by Sea (1996)	Comedy|Romance	60	206	2928
65	Bio-Dome (1996)	Comedy	61	176	342
66	Lawnmower Man 2: Beyond Cyberspace (1996)	Sci-Fi|Thriller	62	292	1603
68	French Twist (Gazon maudit) (1995)	Comedy|Romance	63	206	1057
69	Friday (1995)	Comedy	64	176	1061
70	From Dusk Till Dawn (1996)	Action|Comedy|Crime|Horror|Thriller	65	46	1075
71	Fair Game (1995)	Action	66	1	931
72	Kicking and Screaming (1995)	Comedy|Drama	67	185	1528
73	Misérables, Les (1995)	Drama|Musical	68	245	1850
74	Bed of Roses (1996)	Drama|Romance	69	251	280
76	Screamers (1995)	Sci-Fi|Thriller	70	292	2478
77	Nico Icon (1995)	Documentary	71	234	1994
78	Crossing Guard, The (1995)	Drama	72	238	671
79	Juror, The (1996)	Drama|Thriller	73	259	1513
80	White Balloon, The (Badkonake Sefid ) (1995)	Drama	74	238	3044
81	Things to Do in Denver when You're Dead (1995)	Crime|Drama|Romance	75	221	2807
82	Antonia's Line (Antonia) (1995)	Drama	76	238	161
83	Once Upon a Time... When We Were Colored (1995)	Drama	77	238	2072
84	Last Summer in the Hamptons (1995)	Comedy|Drama	78	185	1597
85	Angels and Insects (1995)	Drama|Romance	79	251	151
86	White Squall (1996)	Adventure|Drama	80	126	3049
87	Dunston Checks In (1996)	Children's|Comedy	81	160	845
88	Black Sheep (1996)	Comedy	82	176	356
89	Nick of Time (1995)	Action|Thriller	83	92	1993
92	Mary Reilly (1996)	Drama|Thriller	84	259	1767
93	Vampire in Brooklyn (1995)	Comedy|Romance	85	206	2958
94	Beautiful Girls (1996)	Drama	86	238	275
95	Broken Arrow (1996)	Action|Thriller	87	92	459
96	In the Bleak Midwinter (1995)	Comedy	88	176	1415
97	Hate (Haine, La) (1995)	Drama	89	238	1264
99	Heidi Fleiss: Hollywood Madam (1995)	Documentary	90	234	1287
100	City Hall (1996)	Drama|Thriller	91	259	575
101	Bottle Rocket (1996)	Comedy	92	176	414
102	Mr. Wrong (1996)	Comedy	93	176	1892
103	Unforgettable (1996)	Thriller	94	295	2942
104	Happy Gilmore (1996)	Comedy	95	176	1251
105	Bridges of Madison County, The (1995)	Drama|Romance	96	251	450
106	Nobody Loves Me (Keiner liebt mich) (1994)	Comedy|Drama	97	185	2026
107	Muppet Treasure Island (1996)	Adventure|Children's|Comedy|Musical	98	111	1912
110	Braveheart (1995)	Action|Drama|War	99	73	433
111	Taxi Driver (1976)	Drama|Thriller	100	259	2771
112	Rumble in the Bronx (1995)	Action|Adventure|Crime	101	16	2432
113	Before and After (1996)	Drama|Mystery	102	247	286
116	Anne Frank Remembered (1995)	Documentary	103	234	157
117	Young Poisoner's Handbook, The (1995)	Crime	104	215	3120
118	If Lucy Fell (1996)	Comedy|Romance	105	206	1403
121	Boys of St. Vincent, The (1993)	Drama	106	238	424
122	Boomerang (1992)	Comedy|Romance	107	206	408
123	Chungking Express (1994)	Drama|Mystery|Romance	108	248	563
124	Star Maker, The (Uomo delle stelle, L') (1995)	Drama	109	238	2657
125	Flirting With Disaster (1996)	Comedy	110	176	1010
126	NeverEnding Story III, The (1994)	Adventure|Children's|Fantasy	111	115	1981
128	Jupiter's Wife (1994)	Documentary	112	234	1511
129	Pie in the Sky (1995)	Comedy|Romance	113	206	2188
132	Jade (1995)	Thriller	114	295	1468
135	Down Periscope (1996)	Comedy	115	176	813
136	From the Journals of Jean Seberg (1995)	Documentary	116	234	1079
140	Up Close and Personal (1996)	Drama|Romance	117	251	2949
141	Birdcage, The (1996)	Comedy	118	176	344
144	Brothers McMullen, The (1995)	Comedy	119	176	465
145	Bad Boys (1995)	Action	120	1	227
146	Amazing Panda Adventure, The (1995)	Adventure|Children's	121	106	111
147	Basketball Diaries, The (1995)	Drama	122	238	256
148	Awfully Big Adventure, An (1995)	Drama	123	238	208
149	Amateur (1994)	Crime|Drama|Thriller	124	224	110
150	Apollo 13 (1995)	Drama	125	238	168
151	Rob Roy (1995)	Drama|Romance|War	126	254	2386
152	Addiction, The (1995)	Horror	127	271	46
153	Batman Forever (1995)	Action|Adventure|Comedy|Crime	128	10	261
154	Belle de jour (1967)	Drama	129	238	294
155	Beyond Rangoon (1995)	Drama|War	130	261	317
156	Blue in the Face (1995)	Comedy	131	176	390
157	Canadian Bacon (1994)	Comedy|War	132	213	494
158	Casper (1995)	Adventure|Children's	133	106	512
159	Clockers (1995)	Drama	134	238	595
160	Congo (1995)	Action|Adventure|Mystery|Sci-Fi	135	28	626
161	Crimson Tide (1995)	Drama|Thriller|War	136	260	663
162	Crumb (1994)	Documentary	137	234	678
163	Desperado (1995)	Action|Romance|Thriller	138	84	761
164	Devil in a Blue Dress (1995)	Crime|Film-Noir|Mystery|Thriller	139	227	770
165	Die Hard: With a Vengeance (1995)	Action|Thriller	140	92	780
166	Doom Generation, The (1995)	Comedy|Drama	141	185	804
168	First Knight (1995)	Action|Adventure|Drama|Romance	142	20	990
169	Free Willy 2: The Adventure Home (1995)	Adventure|Children's|Drama	143	112	1051
170	Hackers (1995)	Action|Crime|Thriller	144	63	1228
171	Jeffrey (1995)	Comedy	145	176	1480
172	Johnny Mnemonic (1995)	Action|Sci-Fi|Thriller	146	87	1493
173	Judge Dredd (1995)	Action|Adventure|Sci-Fi	147	33	1499
174	Jury Duty (1995)	Comedy	148	176	1514
175	Kids (1995)	Drama	149	238	1533
176	Living in Oblivion (1995)	Comedy	150	176	1656
177	Lord of Illusions (1995)	Horror	151	271	1671
178	Love & Human Remains (1993)	Comedy	152	176	1685
180	Mallrats (1995)	Comedy	153	176	1730
181	Mighty Morphin Power Rangers: The Movie (1995)	Action|Children's	154	41	1828
182	Moonlight and Valentino (1995)	Drama|Romance	155	251	1870
183	Mute Witness (1994)	Thriller	156	295	1924
184	Nadja (1994)	Drama	157	238	1959
185	Net, The (1995)	Sci-Fi|Thriller	158	292	1976
186	Nine Months (1995)	Comedy	159	176	2017
187	Party Girl (1995)	Comedy	160	176	2136
188	Prophecy, The (1995)	Horror	161	271	2275
189	Reckless (1995)	Comedy	162	176	2335
190	Safe (1995)	Thriller	163	295	2449
191	Scarlet Letter, The (1995)	Drama	164	238	2468
193	Showgirls (1995)	Drama	165	238	2539
194	Smoke (1995)	Drama	166	238	2581
195	Something to Talk About (1995)	Comedy|Drama|Romance	167	187	2606
196	Species (1995)	Horror|Sci-Fi	168	275	2631
197	Stars Fell on Henrietta, The (1995)	Drama	169	238	2675
198	Strange Days (1995)	Action|Crime|Sci-Fi	170	62	2699
199	Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)	Drama|Musical	171	245	2934
201	Three Wishes (1995)	Drama	172	238	2828
202	Total Eclipse (1995)	Drama|Romance	173	251	2873
203	To Wong Foo, Thanks for Everything! Julie Newmar (1995)	Comedy	174	176	2859
204	Under Siege 2: Dark Territory (1995)	Action	175	1	2937
205	Unstrung Heroes (1995)	Comedy|Drama	176	185	2945
206	Unzipped (1995)	Documentary	177	234	2948
207	Walk in the Clouds, A (1995)	Drama|Romance	178	251	2989
208	Waterworld (1995)	Action|Adventure	179	2	3006
209	White Man's Burden (1995)	Drama	180	238	3046
210	Wild Bill (1995)	Western	181	297	3061
211	Browning Version, The (1994)	Drama	182	238	466
213	Burnt By the Sun (Utomlyonnye solntsem) (1994)	Drama	183	238	478
214	Before the Rain (Pred dozhdot) (1994)	Drama	184	238	287
215	Before Sunrise (1995)	Drama|Romance	185	251	285
216	Billy Madison (1995)	Comedy	186	176	340
217	Babysitter, The (1995)	Drama|Thriller	187	259	218
218	Boys on the Side (1995)	Comedy|Drama	188	185	425
219	Cure, The (1995)	Drama	189	238	687
222	Circle of Friends (1995)	Drama|Romance	190	251	570
223	Clerks (1994)	Comedy	191	176	592
224	Don Juan DeMarco (1995)	Comedy|Drama|Romance	192	187	801
225	Disclosure (1994)	Drama|Thriller	193	259	788
227	Drop Zone (1994)	Action	194	1	833
229	Death and the Maiden (1994)	Drama|Thriller	195	259	743
230	Dolores Claiborne (1994)	Drama|Thriller	196	259	800
231	Dumb & Dumber (1994)	Comedy	197	176	842
232	Eat Drink Man Woman (1994)	Comedy|Drama	198	185	857
233	Exotica (1994)	Drama	199	238	914
234	Exit to Eden (1994)	Comedy	200	176	910
235	Ed Wood (1994)	Comedy|Drama	201	185	859
236	French Kiss (1995)	Comedy|Romance	202	206	1056
237	Forget Paris (1995)	Comedy|Romance	203	206	1037
238	Far From Home: The Adventures of Yellow Dog (1995)	Adventure|Children's	204	106	945
239	Goofy Movie, A (1995)	Animation|Children's|Comedy|Romance	205	148	1177
240	Hideaway (1995)	Thriller	206	295	1307
241	Fluke (1995)	Children's|Drama	207	167	1013
242	Farinelli: il castrato (1994)	Drama|Musical	208	245	952
246	Hoop Dreams (1994)	Documentary	209	234	1342
247	Heavenly Creatures (1994)	Drama|Fantasy|Romance|Thriller	210	240	1283
248	Houseguest (1994)	Comedy	211	176	1360
249	Immortal Beloved (1994)	Drama|Romance	212	251	1407
250	Heavyweights (1994)	Children's|Comedy	213	160	1286
251	Hunted, The (1995)	Action	214	1	1376
252	I.Q. (1994)	Comedy|Romance	215	206	1397
253	Interview with the Vampire (1994)	Drama|Horror	216	243	1441
254	Jefferson in Paris (1995)	Drama	217	238	1479
255	Jerky Boys, The (1994)	Comedy	218	176	1484
256	Junior (1994)	Comedy|Sci-Fi	219	210	1510
257	Just Cause (1995)	Mystery|Thriller	220	286	1515
258	Kid in King Arthur's Court, A (1995)	Adventure|Children's|Comedy|Fantasy|Romance	221	109	1529
259	Kiss of Death (1995)	Crime|Drama|Thriller	222	224	1557
260	Star Wars: Episode IV - A New Hope (1977)	Action|Adventure|Fantasy|Sci-Fi	223	24	2669
261	Little Women (1994)	Drama	224	238	1651
262	Little Princess, A (1995)	Children's|Drama	225	167	1645
263	Ladybird Ladybird (1994)	Drama	226	238	1579
265	Like Water for Chocolate (Como agua para chocolate) (1992)	Drama|Romance	227	251	1632
266	Legends of the Fall (1994)	Drama|Romance|War|Western	228	255	1612
267	Major Payne (1994)	Comedy	229	176	1726
268	Little Odessa (1994)	Drama	230	238	1644
269	My Crazy Life (Mi vida loca) (1993)	Drama	231	238	1933
270	Love Affair (1994)	Drama|Romance	232	251	1687
271	Losing Isaiah (1995)	Drama	233	238	1677
272	Madness of King George, The (1994)	Drama	234	238	1720
273	Mary Shelley's Frankenstein (1994)	Drama|Horror	235	243	1768
275	Mixed Nuts (1994)	Comedy	236	176	1852
276	Milk Money (1994)	Comedy|Romance	237	206	1832
277	Miracle on 34th Street (1994)	Drama	238	238	1839
278	Miami Rhapsody (1995)	Comedy	239	176	1813
279	My Family (1995)	Drama	240	238	1936
280	Murder in the First (1995)	Drama|Thriller	241	259	1916
281	Nobody's Fool (1994)	Drama	242	238	2027
282	Nell (1994)	Drama	243	238	1974
283	New Jersey Drive (1995)	Crime|Drama	244	216	1984
288	Natural Born Killers (1994)	Action|Thriller	245	92	1968
289	Only You (1994)	Comedy|Romance	246	206	2084
290	Once Were Warriors (1994)	Crime|Drama	247	216	2073
291	Poison Ivy II (1995)	Thriller	248	295	2212
292	Outbreak (1995)	Action|Drama|Thriller	249	71	2107
293	Professional, The (a.k.a. Leon: The Professional) (1994)	Crime|Drama|Romance|Thriller	250	222	2270
294	Perez Family, The (1995)	Comedy|Romance	251	206	2157
295	Pyromaniac's Love Story, A (1995)	Comedy|Romance	252	206	2292
296	Pulp Fiction (1994)	Crime|Drama	253	216	2281
297	Panther (1995)	Drama	254	238	2123
298	Pushing Hands (1992)	Comedy	255	176	2290
299	Priest (1994)	Drama	256	238	2253
300	Quiz Show (1994)	Drama	257	238	2302
301	Picture Bride (1995)	Drama|Romance	258	251	2186
302	Queen Margot (La Reine Margot) (1994)	Drama|Romance	259	251	2295
303	Quick and the Dead, The (1995)	Action|Adventure|Western	260	39	2300
304	Roommates (1995)	Comedy|Drama	261	185	2417
305	Ready to Wear (Pret-A-Porter) (1994)	Comedy	262	176	2328
306	Three Colors: Red (1994)	Drama	263	238	2822
307	Three Colors: Blue (1993)	Drama	264	238	2821
308	Three Colors: White (1994)	Drama	265	238	2823
309	Red Firecracker, Green Firecracker (1994)	Drama	266	238	2338
312	Stuart Saves His Family (1995)	Comedy	267	176	2710
313	Swan Princess, The (1994)	Animation|Children's	268	144	2738
314	Secret of Roan Inish, The (1994)	Drama	269	238	2488
315	Specialist, The (1994)	Action	270	1	2630
316	Stargate (1994)	Action|Adventure|Sci-Fi	271	33	2673
317	Santa Clause, The (1994)	Children's|Comedy|Fantasy	272	162	2459
318	Shawshank Redemption, The (1994)	Drama	273	238	2525
319	Shallow Grave (1994)	Thriller	274	295	2520
320	Suture (1993)	Film-Noir|Thriller	275	270	2736
321	Strawberry and Chocolate (Fresa y chocolate) (1993)	Drama	276	238	2702
322	Swimming with Sharks (1995)	Comedy|Drama	277	185	2743
324	Sum of Us, The (1994)	Comedy	278	176	2720
325	National Lampoon's Senior Trip (1995)	Comedy	279	176	1966
326	To Live (Huozhe) (1994)	Drama	280	238	2857
327	Tank Girl (1995)	Action|Comedy|Musical|Sci-Fi	281	50	2764
328	Tales From the Crypt Presents: Demon Knight (1995)	Horror	282	271	2754
329	Star Trek: Generations (1994)	Action|Adventure|Sci-Fi	283	33	2664
330	Tales from the Hood (1995)	Comedy|Horror	284	195	2757
331	Tom & Viv (1994)	Drama	285	238	2860
332	Village of the Damned (1995)	Horror|Sci-Fi	286	275	2975
333	Tommy Boy (1995)	Comedy	287	176	2865
334	Vanya on 42nd Street (1994)	Drama	288	238	2961
335	Underneath, The (1995)	Mystery|Thriller	289	286	2941
336	Walking Dead, The (1995)	Drama|War	290	261	2993
337	What's Eating Gilbert Grape (1993)	Drama	291	238	3029
338	Virtuosity (1995)	Sci-Fi|Thriller	292	292	2978
339	While You Were Sleeping (1995)	Comedy|Romance	293	206	3042
340	War, The (1994)	Adventure|Drama	294	126	3000
341	Double Happiness (1994)	Drama	295	238	807
342	Muriel's Wedding (1994)	Comedy|Romance	296	206	1919
343	Baby-Sitters Club, The (1995)	Children's	297	159	216
344	Ace Ventura: Pet Detective (1994)	Comedy	298	176	38
345	Adventures of Priscilla, Queen of the Desert, The (1994)	Comedy|Drama	299	185	52
346	Backbeat (1993)	Drama|Musical	300	245	225
347	Bitter Moon (1992)	Drama	301	238	347
348	Bullets Over Broadway (1994)	Comedy	302	176	475
349	Clear and Present Danger (1994)	Action|Adventure|Thriller	303	37	590
350	Client, The (1994)	Drama|Mystery|Thriller	304	250	593
351	Corrina, Corrina (1994)	Comedy|Drama|Romance	305	187	641
352	Crooklyn (1994)	Comedy	306	176	668
353	Crow, The (1994)	Action|Romance|Thriller	307	84	673
354	Cobb (1994)	Drama	308	238	602
355	Flintstones, The (1994)	Children's|Comedy	309	160	1007
356	Forrest Gump (1994)	Comedy|Romance|War	310	209	1038
357	Four Weddings and a Funeral (1994)	Comedy|Romance	311	206	1041
358	Higher Learning (1995)	Drama	312	238	1314
359	I Like It Like That (1994)	Comedy|Drama|Romance	313	187	1386
360	I Love Trouble (1994)	Action|Comedy	314	43	1387
361	It Could Happen to You (1994)	Drama|Romance	315	251	1455
362	Jungle Book, The (1994)	Adventure|Children's|Romance	316	118	1507
363	Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)	Documentary	317	234	3094
364	Lion King, The (1994)	Animation|Children's|Musical	318	152	1637
365	Little Buddha (1993)	Drama	319	238	1640
366	Wes Craven's New Nightmare (1994)	Horror	320	271	3019
367	Mask, The (1994)	Comedy|Crime|Fantasy	321	180	1770
368	Maverick (1994)	Action|Comedy|Western	322	55	1779
369	Mrs. Parker and the Vicious Circle (1994)	Drama	323	238	1897
370	Naked Gun 33 1/3: The Final Insult (1994)	Comedy	324	176	1962
371	Paper, The (1994)	Comedy|Drama	325	185	2125
372	Reality Bites (1994)	Comedy|Drama	326	185	2331
373	Red Rock West (1992)	Thriller	327	295	2339
374	Richie Rich (1994)	Children's|Comedy	328	160	2373
375	Safe Passage (1994)	Drama	329	238	2451
376	River Wild, The (1994)	Action|Thriller	330	92	2380
377	Speed (1994)	Action|Romance|Thriller	331	84	2634
378	Speechless (1994)	Comedy|Romance	332	206	2633
379	Timecop (1994)	Action|Sci-Fi	333	86	2843
380	True Lies (1994)	Action|Adventure|Comedy|Romance	334	13	2904
381	When a Man Loves a Woman (1994)	Drama	335	238	3036
382	Wolf (1994)	Drama|Horror	336	243	3087
383	Wyatt Earp (1994)	Western	337	297	3104
384	Bad Company (1995)	Action	338	1	228
386	S.F.W. (1994)	Drama	339	238	2443
387	Low Down Dirty Shame, A (1994)	Action|Comedy	340	43	1705
388	Boys Life (1995)	Drama	341	238	421
389	Colonel Chabert, Le (1994)	Drama|Romance|War	342	254	608
390	Faster Pussycat! Kill! Kill! (1965)	Action|Comedy|Drama	343	47	955
391	Jason's Lyric (1994)	Crime|Drama	344	216	1473
392	Secret Adventures of Tom Thumb, The (1993)	Adventure|Children's	345	106	2484
393	Street Fighter (1994)	Action	346	1	2703
394	Coldblooded (1995)	Action	347	1	607
405	Highlander III: The Sorcerer (1994)	Action|Sci-Fi	348	86	1316
406	Federal Hill (1994)	Drama	349	238	967
407	In the Mouth of Madness (1995)	Horror|Thriller	350	277	1419
408	8 Seconds (1994)	Drama	351	238	28
409	Above the Rim (1994)	Drama	352	238	34
410	Addams Family Values (1993)	Comedy	353	176	43
412	Age of Innocence, The (1993)	Drama	354	238	63
413	Airheads (1994)	Comedy	355	176	72
414	Air Up There, The (1994)	Comedy	356	176	71
415	Another Stakeout (1993)	Comedy|Thriller	357	212	160
416	Bad Girls (1994)	Western	358	297	229
417	Barcelona (1994)	Comedy|Romance	359	206	250
418	Being Human (1993)	Drama	360	238	288
419	Beverly Hillbillies, The (1993)	Comedy	361	176	313
420	Beverly Hills Cop III (1994)	Action|Comedy	362	43	314
421	Black Beauty (1994)	Adventure|Children's	363	106	349
422	Blink (1994)	Thriller	364	295	369
423	Blown Away (1994)	Action|Thriller	365	92	380
424	Blue Chips (1994)	Drama	366	238	383
425	Blue Sky (1994)	Drama|Romance	367	251	387
426	Body Snatchers (1993)	Horror|Sci-Fi|Thriller	368	276	399
427	Boxing Helena (1993)	Mystery|Romance|Thriller	369	283	418
428	Bronx Tale, A (1993)	Drama	370	238	462
429	Cabin Boy (1994)	Comedy	371	176	489
431	Carlito's Way (1993)	Crime|Drama	372	216	504
432	City Slickers II: The Legend of Curly's Gold (1994)	Comedy|Western	373	214	577
433	Clean Slate (1994)	Comedy	374	176	588
434	Cliffhanger (1993)	Action|Adventure|Crime	375	16	594
435	Coneheads (1993)	Comedy|Sci-Fi	376	210	624
436	Color of Night (1994)	Drama|Thriller	377	259	611
438	Cowboy Way, The (1994)	Action|Comedy	378	43	648
440	Dave (1993)	Comedy|Romance	379	206	716
441	Dazed and Confused (1993)	Comedy	380	176	724
442	Demolition Man (1993)	Action|Sci-Fi	381	86	756
443	Endless Summer 2, The (1994)	Documentary	382	234	881
444	Even Cowgirls Get the Blues (1993)	Comedy|Romance	383	206	898
445	Fatal Instinct (1993)	Comedy	384	176	958
446	Farewell My Concubine (1993)	Drama|Romance	385	251	949
448	Fearless (1993)	Drama	386	238	966
449	Fear of a Black Hat (1993)	Comedy	387	176	965
450	With Honors (1994)	Comedy|Drama	388	185	3082
451	Flesh and Bone (1993)	Drama|Mystery|Romance	389	248	1003
452	Widows' Peak (1994)	Drama	390	238	3058
453	For Love or Money (1993)	Comedy	391	176	1025
454	Firm, The (1993)	Drama|Thriller	392	259	987
455	Free Willy (1993)	Adventure|Children's|Drama	393	112	1050
456	Fresh (1994)	Drama	394	238	1060
457	Fugitive, The (1993)	Action|Thriller	395	92	1080
458	Geronimo: An American Legend (1993)	Drama|Western	396	262	1109
459	Getaway, The (1994)	Action	397	1	1116
461	Go Fish (1994)	Drama|Romance	398	251	1143
462	Good Man in Africa, A (1994)	Action|Adventure	399	2	1169
463	Guilty as Sin (1993)	Crime|Drama|Thriller	400	224	1219
464	Hard Target (1993)	Action|Adventure|Crime|Thriller	401	18	1257
465	Heaven & Earth (1993)	Action|Drama|War	402	73	1280
466	Hot Shots! Part Deux (1993)	Action|Comedy|War	403	54	1348
467	Live Nude Girls (1995)	Comedy	404	176	1653
468	Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)	Comedy|Romance	405	206	886
469	House of the Spirits, The (1993)	Drama|Romance	406	251	1357
471	Hudsucker Proxy, The (1994)	Comedy|Romance	407	206	1371
472	I'll Do Anything (1994)	Comedy|Drama	408	185	1394
473	In the Army Now (1994)	Comedy|War	409	213	1414
474	In the Line of Fire (1993)	Action|Thriller	410	92	1418
475	In the Name of the Father (1993)	Drama	411	238	1420
476	Inkwell, The (1994)	Comedy|Drama	412	185	1433
477	What's Love Got to Do with It? (1993)	Drama	413	238	3030
479	Judgment Night (1993)	Action	414	1	1500
480	Jurassic Park (1993)	Action|Adventure|Sci-Fi	415	33	1512
481	Kalifornia (1993)	Drama|Thriller	416	259	1517
482	Killing Zoe (1994)	Thriller	417	295	1540
483	King of the Hill (1993)	Drama	418	238	1554
484	Lassie (1994)	Adventure|Children's	419	106	1587
485	Last Action Hero (1993)	Action|Comedy	420	43	1588
486	Life with Mikey (1993)	Comedy	421	176	1626
487	Lightning Jack (1994)	Comedy|Western	422	214	1631
488	M. Butterfly (1993)	Drama	423	238	1710
489	Made in America (1993)	Comedy	424	176	1718
490	Malice (1993)	Thriller	425	295	1729
491	Man Without a Face, The (1993)	Drama	426	238	1738
492	Manhattan Murder Mystery (1993)	Comedy|Mystery	427	202	1749
493	Menace II Society (1993)	Action|Crime|Drama	428	57	1802
494	Executive Decision (1996)	Action|Thriller	429	92	909
495	In the Realm of the Senses (Ai no corrida) (1976)	Drama	430	238	1421
496	What Happened Was... (1994)	Comedy|Drama|Romance	431	187	3026
497	Much Ado About Nothing (1993)	Comedy|Romance	432	206	1899
498	Mr. Jones (1993)	Drama|Romance	433	251	1885
499	Mr. Wonderful (1993)	Comedy|Romance	434	206	1891
500	Mrs. Doubtfire (1993)	Comedy	435	176	1895
501	Naked (1993)	Drama	436	238	1960
502	Next Karate Kid, The (1994)	Action|Children's	437	41	1989
503	New Age, The (1994)	Drama	438	238	1983
504	No Escape (1994)	Action|Sci-Fi	439	86	2022
505	North (1994)	Comedy	440	176	2029
506	Orlando (1993)	Drama	441	238	2094
507	Perfect World, A (1993)	Action|Drama	442	64	2162
508	Philadelphia (1993)	Drama	443	238	2180
509	Piano, The (1993)	Drama|Romance	444	251	2183
510	Poetic Justice (1993)	Drama	445	238	2209
511	Program, The (1993)	Action|Drama	446	64	2271
512	Robert A. Heinlein's The Puppet Masters (1994)	Horror|Sci-Fi	447	275	2387
513	Radioland Murders (1994)	Comedy|Mystery|Romance	448	203	2304
514	Ref, The (1994)	Comedy	449	176	2344
515	Remains of the Day, The (1993)	Drama	450	238	2347
516	Renaissance Man (1994)	Comedy|Drama|War	451	190	2349
517	Rising Sun (1993)	Action|Drama|Mystery	452	66	2377
518	Road to Wellville, The (1994)	Comedy	453	176	2384
519	Robocop 3 (1993)	Sci-Fi|Thriller	454	292	2393
520	Robin Hood: Men in Tights (1993)	Comedy	455	176	2389
521	Romeo Is Bleeding (1993)	Crime|Thriller	456	233	2409
522	Romper Stomper (1992)	Action|Drama	457	64	2412
523	Ruby in Paradise (1993)	Drama	458	238	2427
524	Rudy (1993)	Drama	459	238	2428
525	Saint of Fort Washington, The (1993)	Drama	460	238	2452
527	Schindler's List (1993)	Drama|War	461	261	2471
528	Scout, The (1994)	Drama	462	238	2474
529	Searching for Bobby Fischer (1993)	Drama	463	238	2483
531	Secret Garden, The (1993)	Children's|Drama	464	167	2486
532	Serial Mom (1994)	Comedy|Crime|Horror	465	181	2493
533	Shadow, The (1994)	Action	466	1	2507
534	Shadowlands (1993)	Drama|Romance	467	251	2508
535	Short Cuts (1993)	Drama	468	238	2537
536	Simple Twist of Fate, A (1994)	Drama	469	238	2546
537	Sirens (1994)	Comedy|Drama	470	185	2554
538	Six Degrees of Separation (1993)	Drama	471	238	2558
539	Sleepless in Seattle (1993)	Comedy|Romance	472	206	2568
540	Sliver (1993)	Thriller	473	295	2575
